date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:42	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-651c1406-2c6216962d9e0f54;gz%22	https://viratrades.org/robots.txt		(from )
02:17:42	33255/33255	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:17:48%20GMT	https://viratrades.org/	C:/My%20Web%20Sites/OG/viratrades.org/index.html	(from )
02:17:44	108020/108020	---M--	200	added ('OK')	font/woff2	etag:%221a5f4-65672770-9759add26d2885c2;;;%22	https://viratrades.org/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/OG/viratrades.org/fonts/fa-brands-400.woff2	(from https://viratrades.org/)
02:17:47	16800/16800	---M--	200	added ('OK')	font/woff2	etag:%2241a0-65672770-8406b910cd258b9;;;%22	https://viratrades.org/fonts/mulish-v3-latin-300.woff2	C:/My%20Web%20Sites/OG/viratrades.org/fonts/mulish-v3-latin-300.woff2	(from https://viratrades.org/)
02:17:47	150124/150124	---M--	200	added ('OK')	font/woff2	etag:%2224a6c-65672770-f157b11b912396ba;;;%22	https://viratrades.org/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/OG/viratrades.org/fonts/fa-solid-900.woff2	(from https://viratrades.org/)
02:17:47	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-651c1406-2c6216962d9e0f54;gz%22	https://viratrades.org/fonts/mulish-v3-latin-800.php	C:/My%20Web%20Sites/OG/viratrades.org/fonts/mulish-v3-latin-800.4.delayed	(from https://viratrades.org/)
02:17:48	15784/15784	---M--	200	added ('OK')	font/woff2	etag:%223da8-65672770-70148c9cfd7b8c7a;;;%22	https://viratrades.org/fonts/roboto-v20-latin-300.woff2	C:/My%20Web%20Sites/OG/viratrades.org/fonts/roboto-v20-latin-300.woff2	(from https://viratrades.org/)
02:17:48	539278/539278	---M-Z	200	added ('OK')	text/css	etag:%2283a8e-65672770-62dd2169aca0a927;gz%22	https://viratrades.org/css/style.css	C:/My%20Web%20Sites/OG/viratrades.org/css/style.css	(from https://viratrades.org/)
02:17:49	139152/139152	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221f90-65672770-e020c1a548077a78;gz%22	https://viratrades.org/js/vendors/uikit.min.js	C:/My%20Web%20Sites/OG/viratrades.org/js/vendors/uikit.min.js	(from https://viratrades.org/)
02:17:49	2967696/2967696	---M--	200	added ('OK')	image/jpeg	etag:%222d4890-65672770-4035a6768587d7b4;;;%22	https://viratrades.org/img/mockup.jpg	C:/My%20Web%20Sites/OG/viratrades.org/img/mockup.jpg	(from https://viratrades.org/)
