date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:26:04	21356/21356	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:26:09%20GMT	./auth/user/login.html	C:/My%20Web%20Sites/og%20login/auth/user/login.html	(from )
02:26:04	574/574	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2001:26:09%20GMT	https://auth/robots.txt		(from )
02:26:05	52621/52621	---M--	200	added ('OK')	image/png	etag:%22cd8d-6524fcba-2072847af3efbbe1;;;%22	https://auth/assets/images/logoIcon/favicon.png	C:/My%20Web%20Sites/og%20login/auth/assets/images/logoIcon/favicon.png	(from ./auth/user/login.html)
02:26:06	4837/4837	---M--	200	added ('OK')	image/png	etag:%2212e5-658c8736-1fe9f7375bbb082d;;;%22	https://auth/assets/images/logoIcon/logo.png	C:/My%20Web%20Sites/og%20login/auth/assets/images/logoIcon/logo.png	(from ./auth/user/login.html)
02:26:07	37349/37349	---M--	200	added ('OK')	image/png	etag:%2291e5-6524fc66-18e9446847332beb;;;%22	https://auth/assets/images/seo/64432011deb821682120721.png	C:/My%20Web%20Sites/og%20login/auth/assets/images/seo/64432011deb821682120721.png	(from ./auth/user/login.html)
02:26:07	163826/163826	---M-Z	200	added ('OK')	text/css	etag:%2227ff2-6524fc66-c0a110d3c93e7dd5;gz%22	https://auth/assets/global/css/bootstrap.min.css	C:/My%20Web%20Sites/og%20login/auth/assets/global/css/bootstrap.min.css	(from ./auth/user/login.html)
02:26:09	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22e7a9-6524fc66-22f7d0e7015d3543;gz%22	https://auth/assets/global/css/all.min.css	C:/My%20Web%20Sites/og%20login/auth/assets/global/css/all.min.css	(from ./auth/user/login.html)
02:26:09	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-6524fc66-520c1d59f0908341;gz%22	https://auth/assets/global/css/line-awesome.min.css	C:/My%20Web%20Sites/og%20login/auth/assets/global/css/line-awesome.min.css	(from ./auth/user/login.html)
02:26:09	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-6524fc66-79957ad3e8dcd47a;gz%22	https://auth/assets/templates/bit_gold//css/vendor/animate.min.css	C:/My%20Web%20Sites/og%20login/auth/assets/templates/bit_gold/css/vendor/animate.min.css	(from ./auth/user/login.html)
02:26:10	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-6524fc66-df572f73b77d497;gz%22	https://auth/assets/templates/bit_gold//css/vendor/slick.css	C:/My%20Web%20Sites/og%20login/auth/assets/templates/bit_gold/css/vendor/slick.css	(from ./auth/user/login.html)
02:26:10	67257/67257	---M-Z	200	added ('OK')	text/css	etag:%22106b9-6524fc66-89d478ce2bb18fb2;gz%22	https://auth/assets/templates/bit_gold//css/vendor/dots.css	C:/My%20Web%20Sites/og%20login/auth/assets/templates/bit_gold/css/vendor/dots.css	(from ./auth/user/login.html)
02:26:10	71277/71277	---M-Z	200	added ('OK')	text/css	etag:%221166d-6524fc66-e6cfb9aa54dc12e7;gz%22	https://auth/assets/templates/bit_gold//css/main.css	C:/My%20Web%20Sites/og%20login/auth/assets/templates/bit_gold/css/main.css	(from ./auth/user/login.html)
02:26:11	6557/6557	---M-Z	200	added ('OK')	text/css	etag:%22199d-6524fc66-387b6e3a1e96bdb1;gz%22	https://auth/assets/templates/bit_gold/css/custom.css	C:/My%20Web%20Sites/og%20login/auth/assets/templates/bit_gold/css/custom.css	(from ./auth/user/login.html)
02:26:12	19653/19653	---MCZ	200	added ('OK')	application/javascript	etag:W/%22659e3d66-4cc5%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/og%20login/www.smartsuppchat.com/loaderd41d.js	(from ./auth/user/login.html)
02:26:13	33967/33967	---M--	200	added ('OK')	image/png	etag:%2284af-6524fc66-407fd52721c3096e;;;%22	https://auth/assets/images/frontend/preloader/632ebf9b581241664008091.png	C:/My%20Web%20Sites/og%20login/auth/assets/images/frontend/preloader/632ebf9b581241664008091.png	(from ./auth/user/login.html)
02:26:13	33738/33738	---M--	200	added ('OK')	image/png	etag:%2283ca-6524fc66-11f4946f7d4edc68;;;%22	https://auth/assets/images/frontend/preloader/632ebf9b5e2681664008091.png	C:/My%20Web%20Sites/og%20login/auth/assets/images/frontend/preloader/632ebf9b5e2681664008091.png	(from ./auth/user/login.html)
02:26:13	18270/18270	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:26:18%20GMT	https://auth/user/password/reset	C:/My%20Web%20Sites/og%20login/auth/user/password/reset.html	(from ./auth/user/login.html)
02:26:14	75846/75846	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:26:19%20GMT	./auth/user/register.html	C:/My%20Web%20Sites/og%20login/auth/user/register.html	(from ./auth/user/login.html)
02:26:15	89500/89500	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d9c-6524fc66-31f5ac467ebccdd0;gz%22	https://auth/assets/global/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/og%20login/auth/assets/global/js/jquery-3.6.0.min.js	(from ./auth/user/login.html)
02:26:15	144098/144098	---M--	200	added ('OK')	image/jpeg	etag:%22232e2-6524fc66-5b99e05189437b7e;;;%22	https://auth/assets/images/frontend/footer/631ca001534431662820353.jpg	C:/My%20Web%20Sites/og%20login/auth/assets/images/frontend/footer/631ca001534431662820353.jpg	(from ./auth/user/login.html)
02:26:17	78080/78080	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213100-6524fc66-8205ee3d46474ef6;gz%22	https://auth/assets/global/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/og%20login/auth/assets/global/js/bootstrap.bundle.min.js	(from ./auth/user/login.html)
02:26:17	42863/42863	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a76f-6524fc66-44a5fa8682a300c1;gz%22	https://auth/assets/templates/bit_gold//js/vendor/slick.min.js	C:/My%20Web%20Sites/og%20login/auth/assets/templates/bit_gold/js/vendor/slick.min.js	(from ./auth/user/login.html)
02:26:17	8415/8415	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220df-6524fc66-65101219fbf455e2;gz%22	https://auth/assets/templates/bit_gold//js/vendor/wow.min.js	C:/My%20Web%20Sites/og%20login/auth/assets/templates/bit_gold/js/vendor/wow.min.js	(from ./auth/user/login.html)
